yisuv id,rikuz,address,yisuv name,lat,lon
7,1,שחר,שחר,31.61809,34.725052
10,1,תירוש,תירוש,31.749229,34.886717
11,1,"ניר ח""ן","ניר ח""ן",31.60901,34.71462
13,1,חצבה,חצבה,30.767088,35.279298
15,1,נועם,נועם,31.56781,34.789406
16,1,בית ניר,בית ניר,31.648892,34.875032
18,1,שדה משה,שדה משה,31.609376,34.800272
21,1,באר אורה,באר אורה,29.7090701,34.9894798
22,1,מקווה ישראל,מקווה ישראל,32.028319,34.781883
23,1,אמציה,אמציה,31.53277,34.913884
24,1,לכיש,לכיש,31.561714,34.842957
26,1,מעלה גיא אוני,ראש פינה,32.96909767,35.54396373
27,2,שדות מיכה,שדות מיכה,31.719803,34.919994
28,1,בית און,מזכרת בתיה,31.85585935,34.8394818
28,3,שד מוטה גור,מזכרת בתיה,31.84872449,34.83934075
28,5,"שחם יואב,5 ",מזכרת בתיה,31.85398379,34.84031456
28,6,"שד אליהו,4 ",מזכרת בתיה,31.854729,34.84128098
28,7,"שד רפאל סויסה,40 ",מזכרת בתיה,31.84493905,34.84606941
29,1,יסוד המעלה,יסוד המעלה,33.057349,35.609412
31,1,"צה""ל,4 ",אופקים,31.31164412,34.6186029
31,2,גולומב,אופקים,31.31177538,34.61249289
31,3,"חפץ חיים,26 ",אופקים,31.30757298,34.623223
31,4,"קבוץ גלויות,5 ",אופקים,31.32054469,34.61793327
31,6,"הפלמ""ח,1 ",אופקים,31.31555,34.61727696
31,7,הנשיא,אופקים,31.31932416,34.61905374
31,8,"עמרם בן דיואן,4 ",אופקים,31.30824666,34.6237754
31,9,"דרך הטייסים,4 ",אופקים,31.30526871,34.62091353
31,12,"החיד""א",אופקים,31.30829485,34.62602594
31,13,"צאלון,1 ",אופקים,31.30361411,34.61617936
31,15,"דרך הטייסים,903 ",אופקים,31.29503403,34.63333317
31,16,"רבי עקיבא,12 ",אופקים,31.30590896,34.62342023
31,17,"יהודה הלוי,16 ",אופקים,31.314594,34.61640198
31,18,"הרב יעקב הורוביץ,1 ",אופקים,31.29954696,34.62031002
31,19,"ירושלים,41 ",אופקים,31.30038722,34.62777052
31,20,"הרב אבוחצירה,1 ",אופקים,31.3118949,34.61567401
31,21,"ירושלים,41 ",אופקים,31.30038722,34.62777052
32,1,עוצם,עוצם,31.634802,34.700621
33,1,בת שלמה,בת שלמה,32.600516,35.002572
35,1,גדות,גדות,33.018173,35.61754
36,1,שדה דוד,שדה דוד,31.577429,34.68344
37,1,איתן,איתן,31.572527,34.747969
38,1,כרי דשא,כרי דשא,32.9288,35.5769
39,1,גפן,גפן,31.740699,34.877499
41,1,"השחף,1 ",אליכין,32.40656448,34.92475085
43,2,מטולה,מטולה,33.27721,35.578423
44,1,זוהר,זוהר,31.595009,34.692197
46,3,"יבנאל,1 ",יבנאל,32.70619,35.50435
